,TrialID,Registration_Date,Source
1390,NCT05198921,2021-12-27,new
1391,NCT05157321,2021-12-08,new
1392,NCT05165472,2021-12-07,new
1393,NCT05205772,2021-12-02,new
1394,ChiCTR2100053550,2021-11-24,new
1395,NCT05134259,2021-11-20,new
1396,ChiCTR2100052642,2021-11-02,new
1397,DRKS00025875,2021-07-20,new
1403,NCT05095740,2021-02-15,new
1407,NCT04692844,2020-12-29,new
1412,NCT04578912,2020-09-30,new
1413,ChiCTR2000037373,2020-08-28,new
1414,NCT04501133,2020-07-21,new
1415,DRKS00022356,2020-07-16,new
1418,NCT04313530,2020-03-16,new
1419,NCT04238000,2020-01-18,new
1423,NCT04179435,2019-11-20,new
1427,NCT04048265,2019-08-06,new
1428,NCT05209516,2019-07-23,new
1431,NCT03844919,2019-02-11,new
1437,ChiCTR1800016986,2018-07-06,new
1448,JPRN-UMIN000021227,2017-09-01,new
1452,JPRN-UMIN000028079,2017-07-06,new
1453,NCT03217110,2017-06-30,new
1456,NCT02969941,2016-11-17,new
1458,NCT02957942,2016-10-26,new
1460,NCT02840760,2016-07-19,new
1462,NCT02734485,2016-03-31,new
1463,NL-OMON41514,2015-08-10,new
1464,NCT02504905,2015-07-21,new
1465,NCT02542839,2015-06-23,new
1469,NCT02265900,2014-10-11,new
1472,NCT02236832,2014-08-28,new
1473,NCT02177617,2014-06-13,new
1476,NCT01980433,2013-10-24,new
1477,NL-OMON39420,2013-09-09,new
1478,NCT02057276,2013-06-05,new
1488,NL-OMON34399,2011-01-21,new
1490,NCT01189058,2010-08-20,new
1494,NCT00965211,2009-08-24,new
1501,NCT00029276,2002-01-09,new
1504,NCT00001665,1999-11-03,new
1505,NCT06090292,2023-10-13,new
1506,NCT06032585,2023-09-04,new
1507,NCT05965960,2023-06-07,new
1508,DRKS00025979,2022-01-07,new
1509,NCT05008094,2021-08-04,new
1510,NCT04970745,2021-06-27,new
1512,ChiCTR-DDD-17010794,2017-03-05,new
1513,RBR-6xtvg5w,2024-01-08,new
1514,JPRN-UMIN000052862,2023-11-22,new
1515,NCT05950347,2023-07-10,new
1516,JPRN-UMIN000051488,2023-06-30,new
1517,NCT05871151,2023-05-12,new
1518,NCT05967598,2023-04-05,new
1519,NCT05806736,2023-02-27,new
1520,ChiCTR2300067988,2023-02-02,new
1521,NCT05683925,2022-12-19,new
1522,NCT05561348,2022-09-22,new
1523,NCT05456451,2022-07-11,new
1525,NCT05759403,2023-03-08,new
1526,NCT03555838,2018-06-14,new
1529,NCT01016743,2009-11-19,new
1530,NCT01052064,2010-01-20,new
1532,NCT05866003,2023-05-19,new
1533,NCT00029068,2002-01-07,new
1534,NCT03870672,2019-03-12,new
1535,NCT04003740,2019-07-01,new
1536,NCT06247904,2024-02-08,new
1537,NCT04252092,2020-02-05,new
1539,NCT05535504,2022-09-10,new
1542,NCT01651169,2012-07-26,new
1544,NCT01894802,2013-07-10,new
1545,NCT01593982,2012-05-08,new
1547,NCT04278430,2020-02-20,new
1552,NCT03663179,2018-09-10,new
1553,NCT03645538,2018-08-24,new
1555,NCT03482310,2018-03-29,new
1556,NCT05351255,2022-04-28,new
1557,NCT04770363,2021-02-25,new
1558,NCT01284686,2011-01-27,new
1559,NCT05163639,2021-12-20,new
1562,NCT01876524,2013-06-12,new
1563,NCT06243952,2024-02-06,new
1566,NCT06009471,2023-08-24,new
1569,NCT02037451,2014-01-16,new
1573,NCT00001258,1999-11-04,new
1574,NCT01196910,2010-09-09,new
1575,NCT01618110,2012-06-13,new
1577,NCT03026712,2017-01-20,new
1578,NCT01968512,2013-10-24,new
1580,NCT01080794,2010-03-04,new
1581,NCT05066659,2021-10-04,new
1582,NCT05871359,2023-05-23,new
1583,NCT05174299,2021-12-30,new
1584,NCT03286686,2017-09-18,new
1587,NCT02611375,2015-11-20,new
1588,NCT01819675,2013-03-27,new
1589,NCT04727866,2021-01-27,new
1590,NCT04777149,2021-03-02,new
1591,NCT01567332,2012-03-30,new
1593,NCT01964261,2013-10-17,new
1594,NCT05795088,2023-04-03,new
1595,NCT01884493,2013-06-24,new
1596,NCT05537597,2022-09-13,new
1598,NCT02082015,2014-03-07,new
1601,NCT02103075,2014-04-03,new
1602,NCT05176613,2022-01-04,new
1603,NCT02287207,2014-11-10,new
1604,NCT05509842,2022-08-22,new
1605,NCT02441985,2015-05-12,new
1606,NCT00001915,1999-11-04,new
1608,NCT05665998,2022-12-27,new
1609,NCT04658745,2020-12-08,new
1612,NCT01859247,2013-05-21,new
1613,NCT02525367,2015-08-17,new
1614,NCT03926520,2019-04-24,new
1615,NCT01856010,2013-05-17,new
1616,NCT03188107,2017-06-15,new
1617,NCT01134848,2010-06-02,new
1618,NCT03049033,2017-02-09,new
1619,NCT01919034,2013-08-08,new
1620,NCT01021696,2009-11-30,new
1621,NCT06167642,2023-12-12,new
1622,NCT00955877,2009-08-10,new
1623,NCT06260384,2024-02-15,new
1625,NCT05513482,2022-08-24,new
1626,NCT01350297,2011-05-09,new
1630,NCT05968703,2023-08-01,new
1632,NCT05351138,2022-04-28,new
1635,NCT05557864,2022-09-28,new
1639,NCT05626608,2022-11-25,new
1641,NCT06185504,2023-12-29,new
1647,NCT05550714,2022-09-22,new
1648,NCT02235792,2014-09-10,new
1651,NCT00575081,2007-12-17,new
1652,NCT02318927,2014-12-17,new
1653,NCT02924194,2016-10-05,new
1654,NCT05992701,2023-08-15,new
1658,NCT04139551,2019-10-25,new
1661,NCT00847431,2009-02-19,new
