TrialID,Date registration3
NCT02558634,20150922
NL-OMON42422,20150921
NCT02553525,20150915
NCT02552628,20150911
NCT02524886,20150727
NCT02509338,20150720
NCT02491554,20150630
NCT02468843,20150603
NCT02443181,20150428
DRKS00007959,20150407
NCT02418858,20150324
NL-OMON41413,20150311
JPRN-UMIN000016467,20150209
NCT02402569,20150130
NCT02320266,20141216
NL-OMON21505,20141103
NCT02253498,20140929
NCT02263417,20140927
DRKS00006785,20140924
NCT02231645,20140901
NL-OMON40948,20140826
ChiCTR-TRC-14005157,20140820
DRKS00006257,20140708
NCT02264925,20140620
DRKS00005797,20140404
NCT02097693,20140324
NCT02095600,20140321
NCT02087046,20140312
NCT02071446,20140221
NCT02056873,20140203
NCT02046863,20131205
DRKS00004770,20131126
NCT01990313,20131106
DRKS00005316,20131002
NCT01981577,20130930
NCT01945567,20130914
NCT01934296,20130829
NCT01922388,20130808
NCT01909531,20130724
DRKS00004235,20130709
DRKS00004928,20130603
NCT01845883,20130423
NL-OMON39084,20130327
NCT01817517,20130318
NCT01809613,20130311
JPRN-UMIN000009996,20130227
NCT01798407,20130221
NCT01796483,20130213
NCT01774383,20130121
NCT01820390,20130114
NCT01764815,20121226
JPRN-UMIN000009229,20121101
NCT01705301,20121009
NL-OMON20700,20121008
NCT01696812,20120918
NCT01671527,20120820
DRKS00004210,20120627
NCT01590056,20120430
NCT01581580,20120419
NCT01497639,20111214
NCT01485276,20111202
DRKS00003137,20111018
JPRN-UMIN000005941,20110901
DRKS00003221,20110829
DRKS00003105,20110711
JPRN-UMIN000005610,20110520
NCT01495897,20110518
JPRN-UMIN000005361,20110401
NCT01329198,20110325
NCT01267409,20101221
NCT01218919,20101008
NCT01169324,20100702
ISRCTN16511360,20100528
ACTRN12610000385044,20100513
NCT01113684,20100426
NCT01334814,20100309
EUCTR2009-015867-15-IT,20100212
NCT02893449,20100205
JPRN-UMIN000002849,20091205
NCT01022073,20091125
NCT00993291,20091008
NCT00971854,20090903
NCT00954421,20090727
NL-OMON33676,20090717
NCT00922909,20090616
NCT00906412,20090519
NCT00902889,20090514
NL-OMON31600,20090225
NCT00821743,20090112
NL-OMON32074,20081126
NCT00792532,20081114
NL-OMON31844,20081112
NCT00773604,20081007
NCT00634478,20080109
NCT00608231,20080107
NCT00552474,20071031
NL-OMON30995,20071002
NL-OMON31328,20070920
EUCTR2006-005567-26-DE,20070719
ISRCTN45455499,20070706
NCT00478842,20070524
NCT00360009,20060802
NCT00358189,20060728
NCT00355927,20060723
NCT00354133,20060719
NL-OMON30282,20060601
NCT00331669,20060526
NCT00311909,20060405
NCT00272246,20060104
NCT00221793,20050913
NCT00169338,20050912
NCT00169403,20050912
NCT00196911,20050911
NCT00148889,20050907
NCT00142259,20050901
NCT00132990,20050818
NCT00132340,20050818
NCT00105430,20050311
NCT00004421,19991018
NCT06070233,20230930
ACTRN12621000321842,20210323
NCT04748640,20210205
NCT03350139,20171116
NCT03339908,20171108
NCT03305588,20171004
NCT02827955,20160706
NCT02585583,20151015
NCT02406105,20150222
NCT02255929,20140917
NCT02095600,20140321
NCT01734122,20121120
ISRCTN17281700,20230510
ChiCTR2200066454,20221206
NCT05624385,20221110
NCT05475340,20220721
ACTRN12622000775718,20220531
JPRN-jRCTs032210506,20211222
NCT04996992,20210731
NCT04661241,20201203
NCT04720469,20201105
NCT04744493,20200923
NCT04501484,20200729
NCT04279912,20200131
NCT04250376,20200129
NCT03964272,20190523
DRKS00016695,20190205
JPRN-jRCTs032180081,20190115
NCT04002596,20190107
JPRN-UMIN000033940,20180901
JPRN-UMIN000033752,20180901
NCT03253991,20170724
JPRN-UMIN000026952,20170601
NCT03100474,20170329
JPRN-UMIN000023639,20170101
NCT03300193,20160529
NCT02692183,20160222
JPRN-UMIN000019498,20151027
JPRN-UMIN000016590,20150223
NCT02289560,20141110
NCT02252380,20140926
NCT02037217,20140114
NCT01932463,20130822
JPRN-UMIN000010714,20130601
NCT01827904,20130327
JPRN-UMIN000009613,20121227
NCT01772693,20121128
NCT01304758,20110211
NCT05678725,20221214
NCT05621200,20221020
NCT05557786,20220924
NCT05220449,20211130
DRKS00024035,20210406
NCT04509349,20200720
IRCT20190306042945N2,20190424
NCT04065022,20190205
NL-OMON29165,20171130
NCT03337334,20171101
JPRN-UMIN000027324,20170515
NL-OMON45367,20170503
NL-OMON45276,20170406
NCT03221413,20160211
NCT02346409,20150105
NCT06245070,20240124
NCT06239675,20240117
ChiCTR2300078473,20231208
NCT06214377,20231129
NCT06214364,20231127
NCT06145776,20231117
IRCT20230728058946N1,20231109
ACTRN12623001065684,20231004
RBR-3ksnxkm,20230628
IRCT20090301001722N29,20230615
NCT05919485,20230608
RBR-104h4s4y,20230602
ChiCTR2300070920,20230426
NCT05752240,20230221
NCT05678725,20221214
NCT05670522,20221206
CTRI/2022/09/045830,20220923
RBR-3mywq86,20220826
IRCT20220725055552N1,20220727
RBR-52y3zgd,20220711
IRCT20220618055211N1,20220624
NCT05326451,20220405
RBR-89mvgbm,20220401
JPRN-jRCTs042210161,20220317
NCT05264909,20220222
NCT05243394,20220120
NCT05092243,20210929
NCT05071586,20210913
IRCT20170703034879N3,20210731
ChiCTR2100047946,20210628
RBR-23y7xm3,20210505
NCT04811066,20210319
NCT04819061,20210306
NCT04787406,20210301
CTRI/2021/02/031411,20210219
NCT04762823,20210216
NCT04725019,20210119
ISRCTN74235136,20201222
NCT04759898,20201221
NCT04655079,20201127
NCT04651699,20201119
NCT04620863,20201026
JPRN-jRCTs032200173,20201026
NCT04591236,20201015
NCT04606979,20201010
TCTR20200909005,20200909
NCT04581590,20200831
NCT04504422,20200805
NCT04527809,20200802
RBR-4mw25f,20200610
ChiCTR2000031141,20200323
NCT04883229,20200322
ACTRN12620000330943,20200310
NCT04257981,20200203
NCT04237948,20200118
NCT04233710,20200115
NCT04221659,20200106
NCT04174573,20191120
NCT04171804,20191103
NCT04153110,20191029
RBR-6bvnx6,20190923
NCT04090385,20190912
NCT04092556,20190908
NCT04046055,20190802
NCT04044677,20190801
IRCT20190412043248N1,20190615
RBR-3h95h7,20190604
NCT03952117,20190514
JPRN-jRCTs072180090,20190329
NCT03981055,20190128
NCT03759132,20181121
RBR-6zys9x,20181109
NCT03721887,20180917
NCT03638531,20180816
KCT0003023,20180724
NCT03635775,20180712
JPRN-UMIN000033253,20180703
RBR-94c26n,20180629
JPRN-UMIN000032863,20180605
NCT03497013,20180403
NCT04055597,20180301
NCT03473522,20180207
NCT03402854,20180110
NCT03401996,20180102
NCT03302871,20171002
JPRN-UMIN000027977,20170801
NCT03216837,20170609
NCT03189472,20170605
NCT03145532,20170504
NCT03191916,20170428
NCT03137940,20170418
NCT03120013,20170414
NCT03038269,20170130
NCT03025334,20170116
NCT02960464,20161108
NCT02850159,20160722
NCT02917122,20160630
TCTR20160330002,20160330
NCT03074812,20160302
NL-OMON42486,20151104
RBR-95xwc7,20150727
NCT02503930,20150709
ACTRN12615000592549,20150605
NCT02453763,20150521
JPRN-UMIN000017590,20150515
RBR-4hvfzj,20150407
RBR-6v4y3k,20150211
NCT02216474,20140812
NCT02205216,20140730
NCT02180139,20140630
NCT02170285,20140616
NCT02052271,20140128
NCT01877148,20130611
NCT01852474,20130508
RBR-9b5dh7,20130418
JPRN-UMIN000008796,20120901
NCT01579435,20120405
ACTRN12612000339853,20120323
NCT01460771,20110927
NCT01019343,20091124
NCT00082342,20040506
IRCT20090301001722N29,20230615
IRCT20220725055552N1,20220727
NCT05264909,20220222
IRCT20170703034879N3,20210731
NCT04897633,20210518
ChiCTR2100046258,20210512
RBR-23y7xm3,20210505
ChiCTR2100042452,20210121
ISRCTN89158865,20200218
RBR-6bvnx6,20190923
JPRN-jRCTs072180090,20190329
ChiCTR1800020283,20181222
NCT03658135,20180813
NCT03369613,20171129
NCT03137940,20170418
IRCT2015100824428N1,20160401
NCT02704793,20160305
NCT00050024,20021119
NCT06237868,20240122
NCT06218316,20231228
NCT06145932,20231112
NCT06128746,20231107
NCT06090682,20231014
NCT06087926,20231011
